name,region,Export value,Import value,Oil exports,Oil imports,Energy consumption,Carbon dioxide emissions,Industrial production growth rate,Revenue from coal,Revenues from forests resources
Egypt,Africa,58339000000,61204000000,46480,90620,101734000.0,50370000.0,7.36,0.0,0.84
New Zealand,Australia and Oceania,54777000000,60047000000,40530,85340,101651000.0,48589000.0,7.26,0.0,0.82
Lithuania,Europe,53397000000,58611000000,37040,85110,100135000.0,48144000.0,7.17,0.0,0.78
Slovenia,Europe,51634000000,50707000000,33700,83860,98946000.0,47735000.0,7.13,0.0,0.68
Bulgaria,Europe,51505000000,50377000000,31450,82930,98474000.0,43112000.0,6.98,0.0,0.62
Nigeria,Africa,50856000000,50059000000,30340,82110,98195000.0,41996000.0,6.84,0.0,0.6
Colombia,South America,50793000000,49196000000,29350,81570,94379000.0,40726000.0,6.8,0.0,0.59
Belarus,Europe,49425000000,49010000000,27150,78700,89733000.0,40344000.0,6.77,0.0,0.54
Bangladesh,South Asia,49386000000,48954000000,26710,75940,88796000.0,39652000.0,6.7,0.0,0.5
Morocco,Africa,47078000000,47665000000,25870,74200,86645000.0,38739000.0,6.64,0.0,0.49
Oman,Middle East,46324000000,45459000000,25620,69970,85829000.0,38373000.0,6.5,0.0,0.49
Algeria,Africa,41776000000,44322000000,25510,68460,83723000.0,38297000.0,6.37,0.0,0.47
Pakistan,South Asia,35566000000,39039000000,24190,67830,83045000.0,36731000.0,6.22,0.0,0.45
Croatia,Europe,35308000000,36502000000,18420,66280,82571000.0,36051000.0,6.22,0.0,0.43
Serbia,Europe,33726000000,36331000000,16880,65400,82356000.0,35475000.0,6.2,0.0,0.39
Angola,Africa,33675000000,32830000000,16180,64160,81953000.0,35389000.0,6.12,0.0,0.38
Bahrain,Middle East,30097000000,29234000000,15750,59020,81407000.0,33850000.0,6.05,0.0,0.38
Ecuador,South America,29325000000,28567000000,14000,57170,80136000.0,32506000.0,5.87,0.0,0.36
Estonia,Europe,29056000000,28541000000,13660,56120,79448000.0,31848000.0,5.72,0.0,0.36
Panama,Central America and the Caribbean,27237000000,27774000000,13570,56000,79126000.0,26893000.0,5.7,0.0,0.34
Macau,East and Southeast Asia,26625000000,27388000000,12870,54370,79083000.0,26808000.0,5.65,0.0,0.34
Azerbaijan,Middle East,25488000000,27187000000,12670,52750,77286000.0,25838000.0,5.65,0.0,0.33
Latvia,Europe,25248000000,26622000000,12520,52290,76714000.0,25263000.0,5.65,0.0,0.31
Cyprus,Europe,24551000000,25967000000,10810,51320,76329000.0,23939000.0,5.63,0.0,0.31
Ghana,Africa,23901000000,24627000000,10400,49420,73187000.0,23692000.0,5.62,0.0,0.29
Costa Rica,Central America and the Caribbean,23761000000,24269000000,9686,49280,71960000.0,23470000.0,5.44,0.0,0.28
Congo Democratic Republic of the,Africa,22354000000,23748000000,9504,49260,71815000.0,22740000.0,5.4,0.0,0.27
Malta,Europe,22110000000,23392000000,8545,49240,71736000.0,19362000.0,5.32,0.0,0.27
Dominican Republic,Central America and the Caribbean,20509000000,22788000000,8541,45800,66909000.0,19041000.0,5.25,0.0,0.26
Cambodia,East and Southeast Asia,20126000000,22298000000,8284,43030,64416000.0,18999000.0,5.17,0.0,0.26
Tunisia,Africa,19743000000,22193000000,7359,42490,63286000.0,18465000.0,5.1,0.0,0.26
Uruguay,South America,18820000000,21853000000,7345,41920,63174000.0,18093000.0,5.09,0.0,0.23
Burma,East and Southeast Asia,17523000000,21362000000,5766,40760,62775000.0,17786000.0,5.06,0.0,0.22
Uzbekistan,Central Asia,16399000000,20859000000,5422,39120,61597000.0,17709000.0,5.01,0.0,0.22
Guatemala,Central America and the Caribbean,15318000000,18845000000,4662,38340,61433000.0,17319000.0,5.0,0.0,0.21
Paraguay,South America,14154000000,18432000000,4603,38080,59690000.0,16798000.0,4.93,0.0,0.21
Jordan,Middle East,13864000000,18271000000,4488,38040,59444000.0,16752000.0,4.92,0.0,0.2
Cote d'Ivoire,Africa,13232000000,17383000000,4063,35530,57709000.0,16478000.0,4.9,0.0,0.2
Sri Lanka,South Asia,13083000000,17356000000,3977,35520,57596000.0,16209000.0,4.74,0.0,0.18
Kenya,Africa,11825000000,16993000000,3871,34280,53572000.0,14503000.0,4.69,0.0,0.18
Zambia,Africa,11716000000,16337000000,3285,34210,53528000.0,14256000.0,4.51,0.0,0.17
Trinidad and Tobago,Central America and the Caribbean,11467000000,15754000000,3250,32050,53019000.0,13844000.0,4.51,0.0,0.17
Bolivia,South America,11439000000,15051000000,3065,31490,51462000.0,13553000.0,4.48,0.0,0.16
Brunei,East and Southeast Asia,11202000000,14495000000,2654,30580,50872000.0,11880000.0,4.18,0.0,0.15
Gabon,Africa,10800000000,14334000000,2530,28490,49700000.0,11491000.0,4.09,0.0,0.15
Papua New Guinea,East and Southeast Asia,10597000000,13454000000,2332,26960,48608000.0,11308000.0,4.07,0.0,0.15
Guinea,Africa,10266000000,12726000000,2290,26660,44899000.0,10696000.0,4.03,0.0,0.14
Lebanon,Middle East,10147000000,12660000000,2052,26400,42564000.0,10299000.0,4.0,0.0,0.14
Bosnia and Herzegovina,Europe,9948000000,11354000000,1828,26270,40398000.0,10158000.0,3.9,0.0,0.13
Iceland,Europe,9775000000,11151000000,1782,26120,40063000.0,10002000.0,3.9,0.0,0.13
Libya,Africa,9537000000,11060000000,1514,25130,39799000.0,9956000.0,3.63,0.0,0.13
Ethiopia,Africa,9496000000,10799000000,901,24340,39331000.0,9576000.0,3.61,0.0,0.13
North Macedonia,Europe,9157000000,10705000000,823,24190,39016000.0,8523000.0,3.58,0.0,0.12
Mongolia,East and Southeast Asia,8950000000,10392000000,500,23580,38442000.0,8450000.0,3.5,0.0,0.1
Equatorial Guinea,Africa,8776000000,10245000000,460,23560,37513000.0,8115000.0,3.5,0.0,0.1
Tanzania,Africa,8555000000,10245000000,403,23480,36465000.0,8114000.0,3.47,0.0,0.1
El Salvador,Central America and the Caribbean,8491000000,10234000000,371,22740,36392000.0,8024000.0,3.42,0.0,0.1
Georgia,Middle East,8086000000,9788000000,357,22460,35620000.0,8009000.0,3.4,0.0,0.1
Honduras,Central America and the Caribbean,7941000000,9277000000,347,21140,35059000.0,7902000.0,3.4,0.0,0.09
Botswana,Africa,7931000000,9256000000,275,21090,34703000.0,7896000.0,3.36,0.0,0.09
Laos,East and Southeast Asia,7820000000,9219000000,192,20640,34095000.0,7893000.0,3.34,0.0,0.08
Turkmenistan,Central Asia,7458000000,9181000000,173,20620,32901000.0,7880000.0,3.3,0.0,0.08
Cameroon,Africa,7449000000,9027000000,91,20610,32785000.0,7753000.0,3.25,0.0,0.08
Nicaragua,Central America and the Caribbean,6617000000,8960000000,80,20220,31552000.0,7708000.0,3.22,0.0,0.08
Mozambique,Africa,6404000000,8592000000,66,20120,29811000.0,7643000.0,3.21,0.0,0.08
Uganda,Africa,6177000000,8306000000,42,20030,29680000.0,7632000.0,3.2,0.0,0.07
Sudan,Africa,5916000000,8004000000,19,19150,27821000.0,7383000.0,3.1,0.0,0.07
Albania,Europe,5612000000,7915000000,0,19100,27651000.0,7191000.0,3.02,0.0,0.06
Burkina Faso,Africa,5356000000,7701000000,0,18880,27111000.0,7105000.0,2.87,0.0,0.06
Senegal,Africa,5287000000,7414000000,0,18720,27094000.0,6903000.0,2.77,0.0,0.06
Zimbabwe,Africa,5263000000,6983000000,0,18600,26786000.0,6798000.0,2.57,0.0,0.05
Mali,Africa,5196000000,6611000000,0,18460,26539000.0,6491000.0,2.54,0.0,0.05
Djibouti,Africa,5160000000,6527000000,0,18280,24590000.0,6450000.0,2.46,0.0,0.05
Armenia,Middle East,5012000000,6339000000,0,18160,24567000.0,6354000.0,2.4,0.0,0.04
Congo Republic of the,Africa,4670000000,6279000000,0,17460,24124000.0,5965000.0,2.38,0.0,0.04
South Sudan,Africa,4652000000,6245000000,0,17460,23231000.0,5886000.0,2.19,0.0,0.04
Guyana,South America,4640000000,6128000000,0,17290,22841000.0,5841000.0,2.08,0.0,0.03
Jamaica,Central America and the Caribbean,4385000000,6120000000,0,17110,19800000.0,5679000.0,1.96,0.0,0.03
Moldova,Europe,4197000000,6082000000,0,14630,19411000.0,4924000.0,1.95,0.0,0.03
Namibia,Africa,3955000000,6055000000,0,14530,19371000.0,4851000.0,1.93,0.0,0.03
Maldives,South Asia,3950000000,5919000000,0,14180,19261000.0,4528000.0,1.9,0.0,0.03
San Marino,Europe,3827000000,5489000000,0,14090,17268000.0,4523000.0,1.72,0.0,0.02
Cayman Islands,Central America and the Caribbean,3652000000,5483000000,0,14040,16156000.0,4444000.0,1.71,0.0,0.02
Benin,Africa,3506000000,5353000000,0,13720,15859000.0,4218000.0,1.55,0.0,0.02
Kyrgyzstan,Central Asia,3350000000,5222000000,0,13500,14916000.0,4041000.0,1.44,0.0,0.02
Madagascar,Africa,3341000000,5020000000,0,13100,13629000.0,3984000.0,1.44,0.0,0.02
Liechtenstein,Europe,3217000000,4924000000,0,12300,13604000.0,3831000.0,1.4,0.0,0.02
Bahamas The,Central America and the Caribbean,3202000000,4844000000,0,10840,13604000.0,3794000.0,1.39,0.0,0.02
Mauritius,Africa,3198000000,4779000000,0,10700,13558000.0,3341000.0,1.28,0.0,0.02
Gaza Strip,Middle East,3180000000,4768000000,0,10680,12610000.0,3341000.0,1.23,0.0,0.01
Mauritania,Africa,3180000000,4571000000,0,10630,11693000.0,3337000.0,1.1,0.0,0.01
West Bank,Middle East,3180000000,4312000000,0,10440,11636000.0,3139000.0,1.05,0.0,0.01
Kosovo,Europe,3138000000,4258000000,0,10150,11595000.0,2981000.0,1.01,0.0,0.01
Cuba,Central America and the Caribbean,2630000000,4079000000,0,9591,11516000.0,2743000.0,1.0,0.0,0.01
Nepal,South Asia,2520000000,4037000000,0,8260,11316000.0,2653000.0,1.0,0.0,0.01
Montenegro,Europe,2502000000,3942000000,0,8181,11239000.0,2651000.0,1.0,0.0,0.01
Chad,Africa,2464000000,3856000000,0,7891,10878000.0,2447000.0,0.66,0.0,0.01
Timor-Leste,East and Southeast Asia,2315000000,3637000000,0,7405,10679000.0,2438000.0,0.49,0.0,0.01
Suriname,South America,2299000000,3582000000,0,7225,9917000.0,2374000.0,0.4,0.0,0.01
Barbados,Central America and the Caribbean,2228000000,3542000000,0,7162,9335000.0,2372000.0,0.3,0.0,0.01
New Caledonia,Australia and Oceania,2207000000,3501000000,0,7160,9221000.0,2286000.0,0.1,0.0,0.01
Aruba,Central America and the Caribbean,2201000000,3279000000,0,7145,8869000.0,2244000.0,-0.24,0.0,0.01
Tajikistan,Central Asia,2161000000,2967000000,0,6948,8468000.0,2012000.0,-0.25,0.0,0.0
Eswatini,Africa,2132000000,2964000000,0,6785,8466000.0,1828000.0,-0.42,0.0,0.0
Rwanda,Africa,2110000000,2715000000,0,6692,8225000.0,1778000.0,-0.47,0.0,0.0
Syria,Middle East,1850000000,2551000000,0,6628,8107000.0,1771000.0,-0.55,0.0,0.0
Andorra,Europe,1842000000,2507000000,0,6448,8047000.0,1703000.0,-0.6,0.0,0.0
Virgin Islands,Central America and the Caribbean,1810000000,2489000000,0,6439,7823000.0,1691000.0,-0.67,0.0,0.0
Seychelles,Africa,1751000000,2389000000,0,6041,6955000.0,1542000.0,-0.7,0.0,0.0
Togo,Africa,1722000000,2344000000,0,5607,6310000.0,1346000.0,-0.7,0.0,0.0
Malawi,Africa,1538000000,2320000000,0,5590,6187000.0,1275000.0,-0.8,0.0,0.0
Afghanistan,South Asia,1476000000,2235000000,0,5576,5740000.0,1254000.0,-0.99,0.0,0.0
Niger,Africa,1338000000,2230000000,0,5279,5453000.0,1224000.0,-1.09,0.0,0.0
Curacao,Central America and the Caribbean,1280000000,2221000000,0,5118,5346000.0,1189000.0,-1.1,0.0,0.0
French Polynesia,Australia and Oceania,1245000000,2213000000,0,5094,5219000.0,1156000.0,-1.14,0.0,0.0
Haiti,Central America and the Caribbean,1241000000,2173000000,0,5065,4396000.0,1030000.0,-1.57,0.0,0.0
Faroe Islands,Europe,1184000000,2160000000,0,4769,4133000.0,1002000.0,-2.0,0.0,0.0
Fiji,Australia and Oceania,1171000000,1947000000,0,4555,4113000.0,934000.0,-2.09,0.0,0.0
Guam,Australia and Oceania,1124000000,1925000000,0,4285,3970000.0,899000.0,-2.1,0.0,0.0
Bermuda,North America,1123000000,1915000000,0,4161,3790000.0,882000.0,-2.22,0.0,0.0
Lesotho,Africa,1080000000,1876000000,0,3973,3547000.0,870000.0,-2.37,0.0,0.0
Belize,Central America and the Caribbean,1044000000,1821000000,0,3939,3334000.0,808000.0,-2.48,0.0,0.0
Monaco,Europe,964600000,1727000000,0,3897,3230000.0,798000.0,-3.3,0.0,0.0
Northern Mariana Islands,Australia and Oceania,914000000,1523000000,0,3799,3227000.0,796000.0,-3.36,0.0,0.0
Saint Lucia,Central America and the Caribbean,890724000,1418000000,0,3738,3219000.0,736000.0,-3.42,0.0,0.0
Turks and Caicos Islands,Central America and the Caribbean,827000000,1371000000,0,3481,3217000.0,729000.0,-3.66,0.0,0.0
Somalia,Africa,819000000,1252000000,0,3120,2943000.0,715000.0,-3.84,0.0,0.0
Sint Maarten,Central America and the Caribbean,787981000,1244000000,0,3113,2460000.0,659000.0,-3.9,0.0,0.0
Antigua and Barbuda,Central America and the Caribbean,749476000,1127000000,0,2799,2404000.0,610000.0,-4.17,0.0,0.0
Bhutan,South Asia,741602000,1117000000,0,2625,2307000.0,606000.0,-4.33,0.0,0.0
